country_ioc,continent,language
ALG,Africa,ar
AND,Europe,ca
ARG,America,es
ARM,Asia,hy
AUS,Oceania,en
AUT,Europe,de
BAH,America,en
BAR,America,en
BLR,Europe,be
BEL,Europe,nl
BOL,America,es
BIH,Europe,bs
BRA,America,pt
BUL,Europe,bg
BDI,Africa,fr
CAM,Asia,km
CMR,Africa,en
CAN,America,en
CHI,America,es
CHN,Asia,zh
COL,America,es
CRC,America,es
CRO,Europe,hr
CUB,America,es
CYP,Europe,el
CZE,Europe,cs
DEN,Europe,da
DOM,America,es
ECU,America,es
EGY,Africa,ar
ESA,America,es
EST,Europe,et
FIN,Europe,fi
FRA,Europe,fr
GAB,Africa,fr
GEO,Europe,ka
DEU,Europe,de
GER,Europe,de
GBR,Europe,en
GRC,Europe,el
GRE,Europe,el
GRN,Europe,en
GUD,America,fr
GUM,Oceania,en
GUA,America,es
HAI,America,ht
HON,America,es
HKG,Asia,zh
HUN,Europe,hu
IND,Asia,en
INA,Asia,id
IRI,Asia,fa
IRL,Europe,en
ISR,Asia,he
ITA,Europe,it
JPN,Asia,ja
KAZ,Asia,kk
KEN,Africa,en
UNK,Europe,al
KUW,Asia,ar
KGZ,Asia,ky
LAT,Europe,lv
LIB,Africa,ar
LIE,Europe,de
LTU,Europe,lt
LUX,Europe,lb
MAD,Africa,fr
MAS,Asia,ms
MLT,Europe,mt
MRI,Africa,en
MEX,America,es
MDA,Europe,ro
MON,Europe,fr
MGL,Asia,mn
MNE,Europe,mo
MAR,Africa,ar
NAM,Africa,en
NED,Europe,nl
NLD,Europe,nl
NZL,Oceania,en
NGR,Africa,en
NGA,Africa,en
MKD,Europe,mk
NOR,Europe,no
OMA,Africa,ar
PAK,Asia,ur
PAN,America,es
PNG,Oceania,en
PAR,America,es
PER,America,es
PHI,Asia,tl
PHL,Asia,tl
POL,Europe,pl
POR,Europe,pt
PUR,America,en
REU,Africa,fr
ROU,Europe,ro
RUS,Europe,ru
SAM,Oceania,sm
SRB,Europe,sr
SIN,Asia,cmn
SGP,Asia,cmn
SVK,Europe,sk
SLO,Europe,sl
RSA,Africa,zu
KOR,Asia,ko
ESP,Europe,es
SRI,Asia,si
SWE,Europe,sv
SUI,Europe,de
TPE,Asia,zh
TJK,Asia,tg
THA,Asia,th
TRI,America,en
TUN,Africa,ar
TUR,Europe,tr
UKR,Europe,uk
USA,America,en
POC,Unknown,unknown
URU,America,es
UZB,Asia,uz
VEN,America,es
VIE,Europe,vi
ZIM,Africa,en
