player_id,country,name,sex,hand,byear
106421,RUS,Daniil Medvedev,M,R,1996
105453,JPN,Kei Nishikori,F,R,1989
104542,FRA,Jo-Wilfried Tsonga,F,R,1985
104871,FRA,Jeremy Chardy,M,R,1987
200282,AUS,Alex De Minaur,F,R,1999
105683,CAN,Milos Raonic,M,R,1990
106034,JPN,Yasutaka Uchiyama,M,R,1992
105777,BUL,Grigor Dimitrov,M,R,1991
111442,AUS,Jordan Thompson,F,R,1994
104918,GBR,Andy Murray,F,R,1987
200175,SRB,Miomir Kecmanovic,M,R,1999
106401,AUS,Nick Kyrgios,M,R,1995
105357,AUS,John Millman,M,R,1989
106045,USA,Denis Kudla,M,R,1992
215018,AUS,Destanee Aiava,F,R,2000
211279,GBR,Harriet Dart,F,R,1996
201545,LAT,Anastasija Sevastova,F,R,1990
201520,CZE,Petra Kvitova,F,L,1990
204426,EST,Anett Kontaveit,F,R,1995
201615,UKR,Lesia Tsurenko,F,R,1989
214040,AUS,Kimberly Birrell,F,U,1998
201662,CZE,Karolina Pliskova,F,R,1992
213631,CZE,Marie Bouzkova,F,R,1998
201548,AUS,Ajla Tomljanovic,F,R,1993
202427,GBR,Johanna Konta,F,R,1991
202428,NED,Kiki Bertens,F,R,1991
202499,CRO,Donna Vekic,F,R,1996
205925,BLR,Aliaksandra Sasnovich,F,R,1994
211768,JPN,Naomi Osaka,F,R,1997
117360,AUS,Marc Polmans,M,R,1997
106423,AUS,Thanasi Kokkinakis,M,R,1996
106426,CHI,Cristian Garin,M,R,1996
106121,JPN,Taro Daniel,F,R,1993
200005,FRA,Ugo Humbert,M,L,1998
111153,USA,Christopher Eubanks,M,R,1996
216146,UKR,Marta Kostyuk,F,R,2002
203530,SUI,Viktorija Golubic,F,R,1992
211684,POL,Magdalena Frech,F,R,1997
203462,UKR,Kateryna Kozlova,F,R,1994
201556,CZE,Lucie Hradecka,F,R,1985
201492,GER,Andrea Petkovic,F,R,1987
215713,RUS,Anastasia Potapova,F,R,2001
211941,AUS,Zoe Hives,F,U,1996
214096,CZE,Karolina Muchova,F,R,1996
215035,UKR,Dayana Yastremska,F,R,2000
201605,LUX,Mandy Minella,F,R,1985
202600,BUL,Viktoriya Tomova,F,R,1995
201539,USA,Christina Mchale,F,R,1992
105138,ESP,Roberto Bautista Agut,M,R,1988
104607,CZE,Tomas Berdych,M,R,1985
104925,SRB,Novak Djokovic,M,R,1987
106065,ITA,Marco Cecchinato,M,R,1992
105932,GEO,Nikoloz Basilashvili,M,R,1992
104527,SUI,Stan Wawrinka,M,R,1985
105583,SRB,Dusan Lajovic,M,R,1990
105732,FRA,Pierre Hugues Herbert,M,R,1991
105916,HUN,Marton Fucsovics,M,R,1992
126094,RUS,Andrey Rublev,M,R,1997
111797,CHI,Nicolas Jarry,M,R,1995
104198,ESP,Guillermo Garcia Lopez,M,R,1983
105575,LTU,Ricardas Berankis,M,R,1990
105550,ARG,Guido Pella,M,L,1990
104269,ESP,Fernando Verdasco,M,L,1983
109739,GER,Maximilian Marterer,M,L,1995
103893,ITA,Paolo Lorenzi,M,R,1981
104571,CYP,Marcos Baghdatis,M,R,1985
104660,UKR,Sergiy Stakhovsky,M,R,1986
105806,BIH,Mirza Basic,M,R,1991
105477,ARG,Marco Trungelliti,M,R,1990
104731,RSA,Kevin Anderson,M,R,1986
103333,CRO,Ivo Karlovic,M,R,1979
104468,FRA,Gilles Simon,M,R,1984
104327,BEL,Steve Darcis,M,R,1984
144719,ESP,Jaume Munar,M,R,1997
105332,FRA,Benoit Paire,M,R,1989
104291,TUN,Malek Jaziri,M,R,1984
105208,LAT,Ernests Gulbis,M,R,1988
111513,SRB,Laslo Djere,M,R,1995
104620,ITA,Simone Bolelli,F,R,1985
125802,BLR,Ilya Ivashka,M,R,1994
106210,CZE,Jiri Vesely,M,L,1993
111581,USA,Michael Mmoh,M,R,1998
106368,IND,Ramkumar Ramanathan,M,R,1994
105539,RUS,Evgeny Donskoy,M,R,1990
106078,BLR,Egor Gerasimov,M,R,1992
105031,IND,Saketh Myneni,M,R,1987
126156,FRA,Antoine Hoang,F,R,1995
106329,BRA,Thiago Monteiro,M,L,1994
124116,AUT,Sebastian Ofner,M,R,1996
106420,ITA,Gianluigi Quinzi,M,L,1996
200000,CAN,Felix Auger Aliassime,M,R,2000
105815,USA,Tennys Sandgren,M,R,1992
111815,GBR,Cameron Norrie,F,L,1996
105526,GER,Jan Lennard Struff,F,R,1991
104259,GER,Philipp Kohlschreiber,M,R,1984
126203,USA,Taylor Fritz,F,R,1998
105807,ESP,Pablo Carreno Busta,M,R,1992
104919,ARG,Leonardo Mayer,M,R,1988
104926,ITA,Fabio Fognini,M,R,1988
105311,POR,Joao Sousa,M,R,1990
103970,ESP,David Ferrer,M,R,1983
104907,NZL,Jose Rubin Statham,M,R,1988
126610,ITA,Matteo Berrettini,M,R,1997
105376,GER,Peter Gojowczyk,F,R,1990
111456,USA,Mackenzie McDonald,F,R,1996
104655,URU,Pablo Cuevas,M,R,1986
105614,USA,Bradley Klahn,M,L,1991
